species_name	surface_name	formation_energy	frequencies	reference
HCO_s	Cu	2.33	[2878.0,1689.8,1190.0,809.9,566.4,302.7,129.3,126.7,125.0]	ACS Catal. 2021, 11, 23, 14545–14560
HCOH_s	Co	1.9	[3497.6,3034.5,1359.0,1163.0,1124.4,902.7,519.9,502.8,368.9,305.9,169.5,140.5]	ACS Catal. 2021, 11, 23, 14545–14560
HCOH_s	Fe	1.45	[3497.6,3034.5,1359.0,1163.0,1124.4,902.7,519.9,502.8,368.9,305.9,169.5,140.5]	ACS Catal. 2021, 11, 23, 14545–14560
HCOH_s	Pt	1.65	[3497.6,3034.5,1359.0,1163.0,1124.4,902.7,519.9,502.8,368.9,305.9,169.5,140.5]	ACS Catal. 2021, 11, 23, 14545–14560
HCOH_s	Pd	1.83	[3497.6,3034.5,1359.0,1163.0,1124.4,902.7,519.9,502.8,368.9,305.9,169.5,140.5]	ACS Catal. 2021, 11, 23, 14545–14560
HCOH_s	Ru	1.49	[3497.6,3034.5,1359.0,1163.0,1124.4,902.7,519.9,502.8,368.9,305.9,169.5,140.5]	ACS Catal. 2021, 11, 23, 14545–14560
HCOH_s	Rh	1.53	[3497.6,3034.5,1359.0,1163.0,1124.4,902.7,519.9,502.8,368.9,305.9,169.5,140.5]	ACS Catal. 2021, 11, 23, 14545–14560
HCOH_s	Ni	1.94	[3497.6,3034.5,1359.0,1163.0,1124.4,902.7,519.9,502.8,368.9,305.9,169.5,140.5]	ACS Catal. 2021, 11, 23, 14545–14560
HCOH_s	Cu	2.65	[3497.6,3034.5,1359.0,1163.0,1124.4,902.7,519.9,502.8,368.9,305.9,169.5,140.5]	ACS Catal. 2021, 11, 23, 14545–14560
H2CO_s	Co	1.29	[3008.8,2928.4,1445.3,1158.6,1130.4,946.5,659.8,526.7,371.6,220.6,135.4,130.4]	ACS Catal. 2021, 11, 23, 14545–14560
H2CO_s	Fe	1.16	[3008.8,2928.4,1445.3,1158.6,1130.4,946.5,659.8,526.7,371.6,220.6,135.4,130.4]	ACS Catal. 2021, 11, 23, 14545–14560
H2CO_s	Pt	1.67	[3008.8,2928.4,1445.3,1158.6,1130.4,946.5,659.8,526.7,371.6,220.6,135.4,130.4]	ACS Catal. 2021, 11, 23, 14545–14560
H2CO_s	Pd	1.64	[3008.8,2928.4,1445.3,1158.6,1130.4,946.5,659.8,526.7,371.6,220.6,135.4,130.4]	ACS Catal. 2021, 11, 23, 14545–14560
H2CO_s	Ru	1.34	[3008.8,2928.4,1445.3,1158.6,1130.4,946.5,659.8,526.7,371.6,220.6,135.4,130.4]	ACS Catal. 2021, 11, 23, 14545–14560
H2CO_s	Rh	1.43	[3008.8,2928.4,1445.3,1158.6,1130.4,946.5,659.8,526.7,371.6,220.6,135.4,130.4]	ACS Catal. 2021, 11, 23, 14545–14560
H2CO_s	Ni	1.37	[3008.8,2928.4,1445.3,1158.6,1130.4,946.5,659.8,526.7,371.6,220.6,135.4,130.4]	ACS Catal. 2021, 11, 23, 14545–14560
H2CO_s	Cu	1.58	[3008.8,2928.4,1445.3,1158.6,1130.4,946.5,659.8,526.7,371.6,220.6,135.4,130.4]	ACS Catal. 2021, 11, 23, 14545–14560
H2COH_s	Co	1.57	[3773.8,3103.4,2994.2,1448.2,1337.4,1189.5,1100.6,1005.1,770.3,509.7,421.6,237.1,125.7,124.5,124.3]	ACS Catal. 2021, 11, 23, 14545–14560
H2COH_s	Fe	1.29	[3773.8,3103.4,2994.2,1448.2,1337.4,1189.5,1100.6,1005.1,770.3,509.7,421.6,237.1,125.7,124.5,124.3]	ACS Catal. 2021, 11, 23, 14545–14560
H2COH_s	Pt	1.41	[3773.8,3103.4,2994.2,1448.2,1337.4,1189.5,1100.6,1005.1,770.3,509.7,421.6,237.1,125.7,124.5,124.3]	ACS Catal. 2021, 11, 23, 14545–14560
H2COH_s	Pd	1.53	[3773.8,3103.4,2994.2,1448.2,1337.4,1189.5,1100.6,1005.1,770.3,509.7,421.6,237.1,125.7,124.5,124.3]	ACS Catal. 2021, 11, 23, 14545–14560
H2COH_s	Ru	1.31	[3773.8,3103.4,2994.2,1448.2,1337.4,1189.5,1100.6,1005.1,770.3,509.7,421.6,237.1,125.7,124.5,124.3]	ACS Catal. 2021, 11, 23, 14545–14560
H2COH_s	Rh	1.34	[3773.8,3103.4,2994.2,1448.2,1337.4,1189.5,1100.6,1005.1,770.3,509.7,421.6,237.1,125.7,124.5,124.3]	ACS Catal. 2021, 11, 23, 14545–14560
H2COH_s	Ni	1.59	[3773.8,3103.4,2994.2,1448.2,1337.4,1189.5,1100.6,1005.1,770.3,509.7,421.6,237.1,125.7,124.5,124.3]	ACS Catal. 2021, 11, 23, 14545–14560
H2COH_s	Cu	2.01	[3773.8,3103.4,2994.2,1448.2,1337.4,1189.5,1100.6,1005.1,770.3,509.7,421.6,237.1,125.7,124.5,124.3]	ACS Catal. 2021, 11, 23, 14545–14560
H3CO_s	Co	0.44	[3019.0,2990.0,2925.1,1453.6,1430.9,1414.3,1113.3,1106.3,982.7,461.6,247.5,177.1,128.8,127.4,127.2]	ACS Catal. 2021, 11, 23, 14545–14560
H3CO_s	Fe	-0.12	[3019.0,2990.0,2925.1,1453.6,1430.9,1414.3,1113.3,1106.3,982.7,461.6,247.5,177.1,128.8,127.4,127.2]	ACS Catal. 2021, 11, 23, 14545–14560
H3CO_s	Pt	1.27	[3019.0,2990.0,2925.1,1453.6,1430.9,1414.3,1113.3,1106.3,982.7,461.6,247.5,177.1,128.8,127.4,127.2]	ACS Catal. 2021, 11, 23, 14545–14560
H3CO_s	Pd	1.21	[3019.0,2990.0,2925.1,1453.6,1430.9,1414.3,1113.3,1106.3,982.7,461.6,247.5,177.1,128.8,127.4,127.2]	ACS Catal. 2021, 11, 23, 14545–14560
H3CO_s	Ru	0.36	[3019.0,2990.0,2925.1,1453.6,1430.9,1414.3,1113.3,1106.3,982.7,461.6,247.5,177.1,128.8,127.4,127.2]	ACS Catal. 2021, 11, 23, 14545–14560
H3CO_s	Rh	0.59	[3019.0,2990.0,2925.1,1453.6,1430.9,1414.3,1113.3,1106.3,982.7,461.6,247.5,177.1,128.8,127.4,127.2]	ACS Catal. 2021, 11, 23, 14545–14560
H3CO_s	Ni	0.44	[3019.0,2990.0,2925.1,1453.6,1430.9,1414.3,1113.3,1106.3,982.7,461.6,247.5,177.1,128.8,127.4,127.2]	ACS Catal. 2021, 11, 23, 14545–14560
H3CO_s	Cu	1.01	[3019.0,2990.0,2925.1,1453.6,1430.9,1414.3,1113.3,1106.3,982.7,461.6,247.5,177.1,128.8,127.4,127.2]	ACS Catal. 2021, 11, 23, 14545–14560
H3COH_s	Co	0.69	[3803.4,3112.3,3067.0,2986.1,1476.0,1469.1,1440.5,1308.0,1139.0,1045.8,941.0,471.1,199.7,155.7,128.7,126.2,126.0,122.0]	ACS Catal. 2021, 11, 23, 14545–14560
H3COH_s	Fe	0.63	[3803.4,3112.3,3067.0,2986.1,1476.0,1469.1,1440.5,1308.0,1139.0,1045.8,941.0,471.1,199.7,155.7,128.7,126.2,126.0,122.0]	ACS Catal. 2021, 11, 23, 14545–14560
H3COH_s	Pt	0.86	[3803.4,3112.3,3067.0,2986.1,1476.0,1469.1,1440.5,1308.0,1139.0,1045.8,941.0,471.1,199.7,155.7,128.7,126.2,126.0,122.0]	ACS Catal. 2021, 11, 23, 14545–14560
H3COH_s	Pd	0.85	[3803.4,3112.3,3067.0,2986.1,1476.0,1469.1,1440.5,1308.0,1139.0,1045.8,941.0,471.1,199.7,155.7,128.7,126.2,126.0,122.0]	ACS Catal. 2021, 11, 23, 14545–14560
H3COH_s	Ru	0.71	[3803.4,3112.3,3067.0,2986.1,1476.0,1469.1,1440.5,1308.0,1139.0,1045.8,941.0,471.1,199.7,155.7,128.7,126.2,126.0,122.0]	ACS Catal. 2021, 11, 23, 14545–14560
H3COH_s	Rh	0.75	[3803.4,3112.3,3067.0,2986.1,1476.0,1469.1,1440.5,1308.0,1139.0,1045.8,941.0,471.1,199.7,155.7,128.7,126.2,126.0,122.0]	ACS Catal. 2021, 11, 23, 14545–14560
H3COH_s	Ni	0.73	[3803.4,3112.3,3067.0,2986.1,1476.0,1469.1,1440.5,1308.0,1139.0,1045.8,941.0,471.1,199.7,155.7,128.7,126.2,126.0,122.0]	ACS Catal. 2021, 11, 23, 14545–14560
H3COH_s	Cu	0.82	[3803.4,3112.3,3067.0,2986.1,1476.0,1469.1,1440.5,1308.0,1139.0,1045.8,941.0,471.1,199.7,155.7,128.7,126.2,126.0,122.0]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CO_s	Co	1.87	[3089.6,3040.4,2972.9,1448.6,1440.9,1356.2,1216.7,1072.3,958.0,923.6,557.8,374.4,333.8,253.9,248.5,243.6,238.0,234.4]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CO_s	Fe	1.47	[3089.6,3040.4,2972.9,1448.6,1440.9,1356.2,1216.7,1072.3,958.0,923.6,557.8,374.4,333.8,253.9,248.5,243.6,238.0,234.4]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CO_s	Pt	1.64	[3089.6,3040.4,2972.9,1448.6,1440.9,1356.2,1216.7,1072.3,958.0,923.6,557.8,374.4,333.8,253.9,248.5,243.6,238.0,234.4]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CO_s	Pd	1.81	[3089.6,3040.4,2972.9,1448.6,1440.9,1356.2,1216.7,1072.3,958.0,923.6,557.8,374.4,333.8,253.9,248.5,243.6,238.0,234.4]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CO_s	Ru	1.5	[3089.6,3040.4,2972.9,1448.6,1440.9,1356.2,1216.7,1072.3,958.0,923.6,557.8,374.4,333.8,253.9,248.5,243.6,238.0,234.4]	ACS Catal. 2021, 11, 23, 14545–14560
H2COH_s	Rh	1.34	[3773.8,3103.4,2994.2,1448.2,1337.4,1189.5,1100.6,1005.1,770.3,509.7,421.6,237.1,125.7,124.5,124.3]	ACS Catal. 2021, 11, 23, 14545–14560
H2COH_s	Ni	1.59	[3773.8,3103.4,2994.2,1448.2,1337.4,1189.5,1100.6,1005.1,770.3,509.7,421.6,237.1,125.7,124.5,124.3]	ACS Catal. 2021, 11, 23, 14545–14560
H2COH_s	Cu	2.01	[3773.8,3103.4,2994.2,1448.2,1337.4,1189.5,1100.6,1005.1,770.3,509.7,421.6,237.1,125.7,124.5,124.3]	ACS Catal. 2021, 11, 23, 14545–14560
H3CO_s	Co	0.44	[3019.0,2990.0,2925.1,1453.6,1430.9,1414.3,1113.3,1106.3,982.7,461.6,247.5,177.1,128.8,127.4,127.2]	ACS Catal. 2021, 11, 23, 14545–14560
H3CO_s	Fe	-0.12	[3019.0,2990.0,2925.1,1453.6,1430.9,1414.3,1113.3,1106.3,982.7,461.6,247.5,177.1,128.8,127.4,127.2]	ACS Catal. 2021, 11, 23, 14545–14560
H3CO_s	Pt	1.27	[3019.0,2990.0,2925.1,1453.6,1430.9,1414.3,1113.3,1106.3,982.7,461.6,247.5,177.1,128.8,127.4,127.2]	ACS Catal. 2021, 11, 23, 14545–14560
H3CO_s	Pd	1.21	[3019.0,2990.0,2925.1,1453.6,1430.9,1414.3,1113.3,1106.3,982.7,461.6,247.5,177.1,128.8,127.4,127.2]	ACS Catal. 2021, 11, 23, 14545–14560
H3CO_s	Ru	0.36	[3019.0,2990.0,2925.1,1453.6,1430.9,1414.3,1113.3,1106.3,982.7,461.6,247.5,177.1,128.8,127.4,127.2]	ACS Catal. 2021, 11, 23, 14545–14560
H3CO_s	Rh	0.59	[3019.0,2990.0,2925.1,1453.6,1430.9,1414.3,1113.3,1106.3,982.7,461.6,247.5,177.1,128.8,127.4,127.2]	ACS Catal. 2021, 11, 23, 14545–14560
H3CO_s	Ni	0.44	[3019.0,2990.0,2925.1,1453.6,1430.9,1414.3,1113.3,1106.3,982.7,461.6,247.5,177.1,128.8,127.4,127.2]	ACS Catal. 2021, 11, 23, 14545–14560
H3CO_s	Cu	1.01	[3019.0,2990.0,2925.1,1453.6,1430.9,1414.3,1113.3,1106.3,982.7,461.6,247.5,177.1,128.8,127.4,127.2]	ACS Catal. 2021, 11, 23, 14545–14560
H3COH_s	Co	0.69	[3803.4,3112.3,3067.0,2986.1,1476.0,1469.1,1440.5,1308.0,1139.0,1045.8,941.0,471.1,199.7,155.7,128.7,126.2,126.0,122.0]	ACS Catal. 2021, 11, 23, 14545–14560
H3COH_s	Fe	0.63	[3803.4,3112.3,3067.0,2986.1,1476.0,1469.1,1440.5,1308.0,1139.0,1045.8,941.0,471.1,199.7,155.7,128.7,126.2,126.0,122.0]	ACS Catal. 2021, 11, 23, 14545–14560
H3COH_s	Pt	0.86	[3803.4,3112.3,3067.0,2986.1,1476.0,1469.1,1440.5,1308.0,1139.0,1045.8,941.0,471.1,199.7,155.7,128.7,126.2,126.0,122.0]	ACS Catal. 2021, 11, 23, 14545–14560
H3COH_s	Pd	0.85	[3803.4,3112.3,3067.0,2986.1,1476.0,1469.1,1440.5,1308.0,1139.0,1045.8,941.0,471.1,199.7,155.7,128.7,126.2,126.0,122.0]	ACS Catal. 2021, 11, 23, 14545–14560
H3COH_s	Ru	0.71	[3803.4,3112.3,3067.0,2986.1,1476.0,1469.1,1440.5,1308.0,1139.0,1045.8,941.0,471.1,199.7,155.7,128.7,126.2,126.0,122.0]	ACS Catal. 2021, 11, 23, 14545–14560
H3COH_s	Rh	0.75	[3803.4,3112.3,3067.0,2986.1,1476.0,1469.1,1440.5,1308.0,1139.0,1045.8,941.0,471.1,199.7,155.7,128.7,126.2,126.0,122.0]	ACS Catal. 2021, 11, 23, 14545–14560
H3COH_s	Ni	0.73	[3803.4,3112.3,3067.0,2986.1,1476.0,1469.1,1440.5,1308.0,1139.0,1045.8,941.0,471.1,199.7,155.7,128.7,126.2,126.0,122.0]	ACS Catal. 2021, 11, 23, 14545–14560
H3COH_s	Cu	0.82	[3803.4,3112.3,3067.0,2986.1,1476.0,1469.1,1440.5,1308.0,1139.0,1045.8,941.0,471.1,199.7,155.7,128.7,126.2,126.0,122.0]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CO_s	Co	1.87	[3089.6,3040.4,2972.9,1448.6,1440.9,1356.2,1216.7,1072.3,958.0,923.6,557.8,374.4,333.8,253.9,248.5,243.6,238.0,234.4]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CO_s	Fe	1.47	[3089.6,3040.4,2972.9,1448.6,1440.9,1356.2,1216.7,1072.3,958.0,923.6,557.8,374.4,333.8,253.9,248.5,243.6,238.0,234.4]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CO_s	Pt	1.64	[3089.6,3040.4,2972.9,1448.6,1440.9,1356.2,1216.7,1072.3,958.0,923.6,557.8,374.4,333.8,253.9,248.5,243.6,238.0,234.4]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CO_s	Pd	1.81	[3089.6,3040.4,2972.9,1448.6,1440.9,1356.2,1216.7,1072.3,958.0,923.6,557.8,374.4,333.8,253.9,248.5,243.6,238.0,234.4]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CO_s	Ru	1.5	[3089.6,3040.4,2972.9,1448.6,1440.9,1356.2,1216.7,1072.3,958.0,923.6,557.8,374.4,333.8,253.9,248.5,243.6,238.0,234.4]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CO_s	Rh	1.54	[3089.6,3040.4,2972.9,1448.6,1440.9,1356.2,1216.7,1072.3,958.0,,923.6,557.8,374.4,333.8,253.9,248.5,243.6,238.0,234.4]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CO_s	Ni	1.91	[3089.6,3040.4,2972.9,1448.6,1440.9,1356.2,1216.7,1072.3,958.0,,923.6,557.8,374.4,333.8,253.9,248.5,243.6,238.0,234.4]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CO_s	Cu	2.53	[089.6,3040.4,2972.9,1448.6,1440.9,1356.2,1216.7,1072.3,958.0,,923.6,557.8,374.4,333.8,253.9,248.5,243.6,238.0,234.4]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CHO_s	Co	1.54	[072.6,3033.1,3022.0,2955.2,1458.3,1446.5,1380.5,1346.6,1141.8,,1095.0,1014.8,887.6,782.2,480.4,383.3,322.7,254.5,250.5,243.7,,236.2,234.5]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CHO_s	Fe	1.41	[072.6,3033.1,3022.0,2955.2,1458.3,1446.5,1380.5,1346.6,1141.8,,1095.0,1014.8,887.6,782.2,480.4,383.3,322.7,254.5,250.5,243.7,,236.2,234.5]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CHO_s	Pt	1.91	[072.6,3033.1,3022.0,2955.2,1458.3,1446.5,1380.5,1346.6,1141.8,,1095.0,1014.8,887.6,782.2,480.4,383.3,322.7,254.5,250.5,243.7,,236.2,234.5]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CHO_s	Pd	1.89	[072.6,3033.1,3022.0,2955.2,1458.3,1446.5,1380.5,1346.6,1141.8,,1095.0,1014.8,887.6,782.2,480.4,383.3,322.7,254.5,250.5,243.7,,236.2,234.5]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CHO_s	Ru	1.59	[072.6,3033.1,3022.0,2955.2,1458.3,1446.5,1380.5,1346.6,1141.8,,1095.0,1014.8,887.6,782.2,480.4,383.3,322.7,254.5,250.5,243.7,,236.2,234.5]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CHO_s	Rh	1.68	[072.6,3033.1,3022.0,2955.2,1458.3,1446.5,1380.5,1346.6,1141.8,,1095.0,1014.8,887.6,782.2,480.4,383.3,322.7,254.5,250.5,243.7,,236.2,234.5]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CHO_s	Ni	1.62	[072.6,3033.1,3022.0,2955.2,1458.3,1446.5,1380.5,1346.6,1141.8,,1095.0,1014.8,887.6,782.2,480.4,383.3,322.7,254.5,250.5,243.7,,236.2,234.5]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CHO_s	Cu	1.83	[072.6,3033.1,3022.0,2955.2,1458.3,1446.5,1380.5,1346.6,1141.8,,1095.0,1014.8,887.6,782.2,480.4,383.3,322.7,254.5,250.5,243.7,,236.2,234.5]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CH2O_s	Co	0.73	[066.7,3063.4,3022.1,2987.5,2979.9,1487.0,1470.8,1466.3,1388.9,,1353.7,1270.9,1139.9,1084.0,998.8,860.8,800.6,477.7,334.5,327.1,,257.0,254.8,249.3,234.2,233.1]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CH2O_s	Fe	0.40	[066.7,3063.4,3022.1,2987.5,2979.9,1487.0,1470.8,1466.3,1388.9,,1353.7,1270.9,1139.9,1084.0,998.8,860.8,800.6,477.7,334.5,327.1,,257.0,254.8,249.3,234.2,233.1]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CH2O_s	Pt	1.79	[066.7,3063.4,3022.1,2987.5,2979.9,1487.0,1470.8,1466.3,1388.9,,1353.7,1270.9,1139.9,1084.0,998.8,860.8,800.6,477.7,334.5,327.1,,257.0,254.8,249.3,234.2,233.1]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CH2O_s	Pd	1.73	[066.7,3063.4,3022.1,2987.5,2979.9,1487.0,1470.8,1466.3,1388.9,,1353.7,1270.9,1139.9,1084.0,998.8,860.8,800.6,477.7,334.5,327.1,,257.0,254.8,249.3,234.2,233.1]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CH2O_s	Ru	0.89	[066.7,3063.4,3022.1,2987.5,2979.9,1487.0,1470.8,1466.3,1388.9,,1353.7,1270.9,1139.9,1084.0,998.8,860.8,800.6,477.7,334.5,327.1,,257.0,254.8,249.3,234.2,233.1]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CH2O_s	Rh	1.11	[066.7,3063.4,3022.1,2987.5,2979.9,1487.0,1470.8,1466.3,1388.9,,1353.7,1270.9,1139.9,1084.0,998.8,860.8,800.6,477.7,334.5,327.1,,257.0,254.8,249.3,234.2,233.1]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CH2O_s	Ni	0.97	[066.7,3063.4,3022.1,2987.5,2979.9,1487.0,1470.8,1466.3,1388.9,,1353.7,1270.9,1139.9,1084.0,998.8,860.8,800.6,477.7,334.5,327.1,,257.0,254.8,249.3,234.2,233.1]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CH2O_s	Cu	1.54	[3066.7,3063.4,3022.1,2987.5,2979.9,1487.0,1470.8,1466.3,1388.9,1353.7,1270.9,1139.9,1084.0,998.8,860.8,800.6,477.7,334.5,327.1,257.0,254.8,249.3,234.2,233.1]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CH2OH_s	Co	1.21	[3795.3,3074.7,3056.2,3036.3,2990.1,2976.4,1489.6,1474.0,1472.9,1397.1,1378.0,1321.7,1245.8,1102.6,1039.7,1001.2,840.3,804.6,430.7,397.7,265.0,237.1,235.9,233.3,232.0,231.4,227.4]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CH2OH_s	Fe	1.16	[3795.3,3074.7,3056.2,3036.3,2990.1,2976.4,1489.6,1474.0,1472.9,1397.1,1378.0,1321.7,1245.8,1102.6,1039.7,1001.2,840.3,804.6,430.7,397.7,265.0,237.1,235.9,233.3,232.0,231.4,227.4]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CH2OH_s	Pt	1.39	[3795.3,3074.7,3056.2,3036.3,2990.1,2976.4,1489.6,1474.0,1472.9,1397.1,1378.0,1321.7,1245.8,1102.6,1039.7,1001.2,840.3,804.6,430.7,397.7,265.0,237.1,235.9,233.3,232.0,231.4,227.4]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CH2OH_s	Pd	1.38	[3795.3,3074.7,3056.2,3036.3,2990.1,2976.4,1489.6,1474.0,1472.9,1397.1,1378.0,1321.7,1245.8,1102.6,1039.7,1001.2,840.3,804.6,430.7,397.7,265.0,237.1,235.9,233.3,232.0,231.4,227.4]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CH2OH_s	Ru	1.24	[3795.3,3074.7,3056.2,3036.3,2990.1,2976.4,1489.6,1474.0,1472.9,1397.1,1378.0,1321.7,1245.8,1102.6,1039.7,1001.2,840.3,804.6,430.7,397.7,265.0,237.1,235.9,233.3,232.0,231.4,227.4]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CH2OH_s	Rh	1.28	[3795.3,3074.7,3056.2,3036.3,2990.1,2976.4,1489.6,1474.0,1472.9,1397.1,1378.0,1321.7,1245.8,1102.6,1039.7,1001.2,840.3,804.6,430.7,397.7,265.0,237.1,235.9,233.3,232.0,231.4,227.4]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CH2OH_s	Ni	1.25	[3795.3,3074.7,3056.2,3036.3,2990.1,2976.4,1489.6,1474.0,1472.9,1397.1,1378.0,1321.7,1245.8,1102.6,1039.7,1001.2,840.3,804.6,430.7,397.7,265.0,237.1,235.9,233.3,232.0,231.4,227.4]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CH2OH_s	Cu	1.35	[3795.3,3074.7,3056.2,3036.3,2990.1,2976.4,1489.6,1474.0,1472.9,1397.1,1378.0,1321.7,1245.8,1102.6,1039.7,1001.2,840.3,804.6,430.7,397.7,265.0,237.1,235.9,233.3,232.0,231.4,227.4]	ACS Catal. 2021, 11, 23, 14545–14560
CH2CO_s	Co	2.84	[3104.5,3023.4,1432.4,1317.9,1054.7,946.5,845.4,658.2,556.5,384.3,365.8,274.8,260.2,246.1,245.7]	ACS Catal. 2021, 11, 23, 14545–14560
CH2CO_s	Fe	2.71	[3104.5,3023.4,1432.4,1317.9,1054.7,946.5,845.4,658.2,556.5,384.3,365.8,274.8,260.2,246.1,245.7]	ACS Catal. 2021, 11, 23, 14545–14560
CH2CO_s	Pt	3.22	[3104.5,3023.4,1432.4,1317.9,1054.7,946.5,845.4,658.2,556.5,384.3,365.8,274.8,260.2,246.1,245.7]	ACS Catal. 2021, 11, 23, 14545–14560
CH2CO_s	Pd	3.2	[3104.5,3023.4,1432.4,1317.9,1054.7,946.5,845.4,658.2,556.5,384.3,365.8,274.8,260.2,246.1,245.7]	ACS Catal. 2021, 11, 23, 14545–14560
CH2CO_s	Ru	2.9	[3104.5,3023.4,1432.4,1317.9,1054.7,946.5,845.4,658.2,556.5,384.3,365.8,274.8,260.2,246.1,245.7]	ACS Catal. 2021, 11, 23, 14545–14560
CH2CO_s	Rh	2.98	[3104.5,3023.4,1432.4,1317.9,1054.7,946.5,845.4,658.2,556.5,384.3,365.8,274.8,260.2,246.1,245.7]	ACS Catal. 2021, 11, 23, 14545–14560
CH2CO_s	Ni	2.93	[3104.5,3023.4,1432.4,1317.9,1054.7,946.5,845.4,658.2,556.5,384.3,365.8,274.8,260.2,246.1,245.7]	ACS Catal. 2021, 11, 23, 14545–14560
CH2CO_s	Cu	3.13	[3104.5,3023.4,1432.4,1317.9,1054.7,946.5,845.4,658.2,556.5,384.3,365.8,274.8,260.2,246.1,245.7]	ACS Catal. 2021, 11, 23, 14545–14560
CH2CHO_s	Co	2.12	[3104.4,3072.7,2874.6,1404.2,1346.7,1182.9,1123.3,941.3,928.1,809.4,732.0,515.8,419.7,334.7,296.4,254.9,249.1,245.1]	ACS Catal. 2021, 11, 23, 14545–14560
CH2CHO_s	Fe	1.86	[3104.4,3072.7,2874.6,1404.2,1346.7,1182.9,1123.3,941.3,928.1,809.4,732.0,515.8,419.7,334.7,296.4,254.9,249.1,245.1]	ACS Catal. 2021, 11, 23, 14545–14560
CH2CHO_s	Pt	2.93	[3104.4,3072.7,2874.6,1404.2,1346.7,1182.9,1123.3,941.3,928.1,809.4,732.0,515.8,419.7,334.7,296.4,254.9,249.1,245.1]	ACS Catal. 2021, 11, 23, 14545–14560
CH2CHO_s	Pd	2.88	[3104.4,3072.7,2874.6,1404.2,1346.7,1182.9,1123.3,941.3,928.1,809.4,732.0,515.8,419.7,334.7,296.4,254.9,249.1,245.1]	ACS Catal. 2021, 11, 23, 14545–14560
CH2CHO_s	Ru	2.24	[3104.4,3072.7,2874.6,1404.2,1346.7,1182.9,1123.3,941.3,928.1,809.4,732.0,515.8,419.7,334.7,296.4,254.9,249.1,245.1]	ACS Catal. 2021, 11, 23, 14545–14560
CH2CHO_s	Rh	2.41	[3104.4,3072.7,2874.6,1404.2,1346.7,1182.9,1123.3,941.3,928.1,809.4,732.0,515.8,419.7,334.7,296.4,254.9,249.1,245.1]	ACS Catal. 2021, 11, 23, 14545–14560
CH2CHO_s	Ni	2.3	[3104.4,3072.7,2874.6,1404.2,1346.7,1182.9,1123.3,941.3,928.1,809.4,732.0,515.8,419.7,334.7,296.4,254.9,249.1,245.1]	ACS Catal. 2021, 11, 23, 14545–14560
CH2CHO_s	Cu	2.74	[3104.4,3072.7,2874.6,1404.2,1346.7,1182.9,1123.3,941.3,928.1,809.4,732.0,515.8,419.7,334.7,296.4,254.9,249.1,245.1]	ACS Catal. 2021, 11, 23, 14545–14560
CH2CH2O_s	Co	2.64	[3028.3,2969.4,2960.4,2774.3,1466.0,1372.7,1317.4,1217.6,1152.4,1070.8,945.4,893.7,842.6,580.5,454.0,370.0,312.4,278.4,255.8,247.9,244.3]	ACS Catal. 2021, 11, 23, 14545–14560
CH2CH2O_s	Fe	2.21	[3028.3,2969.4,2960.4,2774.3,1466.0,1372.7,1317.4,1217.6,1152.4,1070.8,945.4,893.7,842.6,580.5,454.0,370.0,312.4,278.4,255.8,247.9,244.3]	ACS Catal. 2021, 11, 23, 14545–14560
