species_name	surface_name	formation_energy	frequencies	reference
CH3CH2_s	Ru	1.08	[3060.0,3031.7,3011.1,2993.1,2942.4,1461.6,1451.8,1438.8,1376.7,1224.4,1164.1,1005.4,937.7,915.0,692.4,471.1,264.4,242.2,125.2,124.4,124.1]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CH2_s	Rh	1.11	[3060.0,3031.7,3011.1,2993.1,2942.4,1461.6,1451.8,1438.8,1376.7,1224.4,1164.1,1005.4,937.7,915.0,692.4,471.1,264.4,242.2,125.2,124.4,124.1]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CH2_s	Ni	1.37	[3060.0,3031.7,3011.1,2993.1,2942.4,1461.6,1451.8,1438.8,1376.7,1224.4,1164.1,1005.4,937.7,915.0,692.4,471.1,264.4,242.2,125.2,124.4,124.1]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CH2_s	Cu	1.8	[3060.0,3031.7,3011.1,2993.1,2942.4,1461.6,1451.8,1438.8,1376.7,1224.4,1164.1,1005.4,937.7,915.0,692.4,471.1,264.4,242.2,125.2,124.4,124.1]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CH_s	Co	1.88	[3019.8,3015.8,2976.4,2942.5,1436.8,1432.2,1365.9,1260.0,1032.1,964.8,951.9,825.7,509.3,377.6,292.6,186.1,170.5,137.9]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CH_s	Fe	1.34	[3019.8,3015.8,2976.4,2942.5,1436.8,1432.2,1365.9,1260.0,1032.1,964.8,951.9,825.7,509.3,377.6,292.6,186.1,170.5,137.9]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CH_s	Pt	1.57	[3019.8,3015.8,2976.4,2942.5,1436.8,1432.2,1365.9,1260.0,1032.1,964.8,951.9,825.7,509.3,377.6,292.6,186.1,170.5,137.9]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CH_s	Pd	1.8	[3019.8,3015.8,2976.4,2942.5,1436.8,1432.2,1365.9,1260.0,1032.1,964.8,951.9,825.7,509.3,377.6,292.6,186.1,170.5,137.9]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CH_s	Ru	1.38	[3019.8,3015.8,2976.4,2942.5,1436.8,1432.2,1365.9,1260.0,1032.1,964.8,951.9,825.7,509.3,377.6,292.6,186.1,170.5,137.9]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CH_s	Rh	1.43	[3019.8,3015.8,2976.4,2942.5,1436.8,1432.2,1365.9,1260.0,1032.1,964.8,951.9,825.7,509.3,377.6,292.6,186.1,170.5,137.9]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CH_s	Ni	1.93	[3019.8,3015.8,2976.4,2942.5,1436.8,1432.2,1365.9,1260.0,1032.1,964.8,951.9,825.7,509.3,377.6,292.6,186.1,170.5,137.9]	ACS Catal. 2021, 11, 23, 14545–14560
CH3CH_s	Cu	2.8	[3019.8,3015.8,2976.4,2942.5,1436.8,1432.2,1365.9,1260.0,1032.1,964.8,951.9,825.7,509.3,377.6,292.6,186.1,170.5,137.9]	ACS Catal. 2021, 11, 23, 14545–14560
CH3C_s	Co	1.91	[3056.2,3055.7,2977.4,1433.2,1432.6,1358.9,1094.0,979.5,978.2,465.6,465.2,415.6,181.2,178.0,146.4]	ACS Catal. 2021, 11, 23, 14545–14560
CH3C_s	Fe	1.22	[3056.2,3055.7,2977.4,1433.2,1432.6,1358.9,1094.0,979.5,978.2,465.6,465.2,415.6,181.2,178.0,146.4]	ACS Catal. 2021, 11, 23, 14545–14560
CH3C_s	Pt	1.52	[3056.2,3055.7,2977.4,1433.2,1432.6,1358.9,1094.0,979.5,978.2,465.6,465.2,415.6,181.2,178.0,146.4]	ACS Catal. 2021, 11, 23, 14545–14560
CH3C_s	Pd	1.81	[3056.2,3055.7,2977.4,1433.2,1432.6,1358.9,1094.0,979.5,978.2,465.6,465.2,415.6,181.2,178.0,146.4]	ACS Catal. 2021, 11, 23, 14545–14560
CH3C_s	Ru	1.27	[3056.2,3055.7,2977.4,1433.2,1432.6,1358.9,1094.0,979.5,978.2,465.6,465.2,415.6,181.2,178.0,146.4]	ACS Catal. 2021, 11, 23, 14545–14560
CH3C_s	Rh	1.33	[3056.2,3055.7,2977.4,1433.2,1432.6,1358.9,1094.0,979.5,978.2,465.6,465.2,415.6,181.2,178.0,146.4]	ACS Catal. 2021, 11, 23, 14545–14560
CH3C_s	Ni	1.98	[3056.2,3055.7,2977.4,1433.2,1432.6,1358.9,1094.0,979.5,978.2,465.6,465.2,415.6,181.2,178.0,146.4]	ACS Catal. 2021, 11, 23, 14545–14560
CH3C_s	Cu	3.13	[3056.2,3055.7,2977.4,1433.2,1432.6,1358.9,1094.0,979.5,978.2,465.6,465.2,415.6,181.2,178.0,146.4]	ACS Catal. 2021, 11, 23, 14545–14560
CH2CH2_s	Co	1.64	[3109.6,3084.3,3023.5,3012.9,1453.0,1424.6,1203.0,1065.2,1054.5,986.7,947.6,809.3,661.4,539.8,437.8,203.9,141.4,132.6]	ACS Catal. 2021, 11, 23, 14545–14560
CH2CH2_s	Fe	1.51	[3109.6,3084.3,3023.5,3012.9,1453.0,1424.6,1203.0,1065.2,1054.5,986.7,947.6,809.3,661.4,539.8,437.8,203.9,141.4,132.6]	ACS Catal. 2021, 11, 23, 14545–14560
